player_id,batsman,innings,runs,ball,dismissals,sixes,fours,dots,ones,twos,threes,SR,BPD,BPB,NBDRY_SR,AVG,Dot_percentage
1,A Adekunle,6,7,24,3,0,0,17,3,2,0,29.16666667,8,24,31.81818182,2.333333333,70.83333333
2,A Aikenhead,9,71,100,9,0,4,51,28,12,1,71,11.11111111,25,59.7826087,7.888888889,51
3,A Aitken,1,14,36,0,0,0,24,10,2,0,38.88888889,36,36,38.88888889,14,66.66666667
4,A Aitken-Drummond,16,162,207,14,2,15,99,74,8,0,78.26086957,14.78571429,12.17647059,49.72375691,11.57142857,47.82608696
5,A Akhigbe,5,72,95,4,1,11,56,20,1,0,75.78947368,23.75,7.916666667,28.57142857,18,58.94736842
6,A Akurut,5,4,21,4,0,0,17,4,0,0,19.04761905,5.25,21,19.04761905,1,80.95238095
7,A Alfonso,4,13,39,2,0,1,27,7,1,0,33.33333333,19.5,39,25.71428571,6.5,69.23076923
8,A Andriani,5,38,35,3,0,6,19,4,2,2,108.5714286,11.66666667,5.833333333,51.85185185,12.66666667,54.28571429
9,A Argyropoulou,6,74,132,7,0,6,64,38,6,0,56.06060606,18.85714286,22,46.2962963,10.57142857,48.48484848
10,A Bester,8,61,91,8,0,6,52,22,6,1,67.03296703,11.375,15.16666667,45.67901235,7.625,57.14285714
11,A Bierwisch,16,143,331,13,0,4,188,87,20,0,43.20241692,25.46153846,82.75,43.05084746,11,56.79758308
12,A Bosch,30,685,641,27,10,77,260,239,36,2,106.8642746,23.74074074,7.367816092,59.03165736,25.37037037,40.56162246
13,A Bose,5,11,40,4,0,1,31,7,0,0,27.5,10,40,18.42105263,2.75,77.5
14,A Brindle,18,256,266,12,1,12,82,122,37,2,96.2406015,22.16666667,20.46153846,83.12757202,21.33333333,30.82706767
15,A Brown-Carrera,2,25,35,1,0,2,14,9,4,0,71.42857143,35,17.5,62.96296296,25,40
16,A Canning,8,23,30,5,0,1,13,11,4,0,76.66666667,6,30,67.85714286,4.6,43.33333333
17,A Capsey,32,672,566,28,12,90,236,181,28,1,118.7279152,20.21428571,5.549019608,53.81165919,24,41.69611307
18,A Chandel,18,216,409,15,0,12,209,115,24,0,52.81173594,27.26666667,34.08333333,46.83908046,14.4,51.1002445
19,A Charles,1,1,5,1,0,0,2,1,0,0,20,5,5,33.33333333,1,40
20,A Chilia,9,120,186,10,0,13,105,42,13,0,64.51612903,18.6,14.30769231,42.5,12,56.4516129
21,A Cossa,5,25,46,6,0,1,23,9,6,0,54.34782609,7.666666667,46,55.26315789,4.166666667,50
