,batsman,runs,ball,innings,matches_x,dismissals,sixes,fours,dots,ones,twos,threes,batting_team,hundreds,fifties,thirties,highest_score,matches_y,SR,BPD,BPB,nbdry_sr,AVG,dot_percentage,debut_year,final_year,matches,surname,initial
6,A le Breton,14,12,1,1,1,0,2,4,6,0,0,South Africa,0,0,0,14,1,116.66666666666667,12.0,6.0,60.0,14.0,33.33333333333333,2013/14,2013/14,1,Breton,A Breton
10,AC Jayangani,1424,1371,74,74,52,32,193,667,355,51,1,Sri Lanka,1,4,15,102,74,103.8657913931437,26.365384615384617,6.093333333333334,42.83054003724395,27.384615384615383,48.650619985412106,2012/13,2024,74,Jayangani,A Jayangani
11,AC Kerr,528,486,34,34,20,0,51,158,213,51,3,New Zealand,0,1,5,66,34,108.64197530864197,24.3,9.529411764705882,76.23529411764706,26.4,32.510288065843625,2016/17,2024,34,Kerr,A Kerr
12,AE Satterthwaite,582,547,36,36,25,6,64,206,205,41,1,New Zealand,0,1,8,71,36,106.39853747714807,21.88,7.814285714285714,64.01766004415012,23.28,37.6599634369287,2009,2021,36,Satterthwaite,A Satterthwaite
13,AJ Blackwell,239,300,27,27,18,0,9,97,165,19,0,Australia,0,0,0,27,27,79.66666666666666,16.666666666666668,33.333333333333336,72.24199288256227,13.277777777777779,32.33333333333333,2009,2016/17,27,Blackwell,A Blackwell
14,AL Hodgkinson,11,29,2,2,2,0,2,23,3,0,0,South Africa,0,0,0,6,2,37.93103448275862,14.5,14.5,11.538461538461538,5.5,79.3103448275862,2011/12,2012/13,2,Hodgkinson,A Hodgkinson
19,APC Kilowan,2,2,1,1,1,0,0,0,2,0,0,South Africa,0,0,0,2,1,100.0,2.0,2.0,100.0,2.0,0.0,2009/10,2009/10,1,Kilowan,A Kilowan
20,AS Taai,3,2,1,1,0,0,0,0,1,1,0,South Africa,0,0,0,3,1,150.0,2.0,2.0,150.0,3.0,0.0,2009/10,2009/10,1,Taai,A Taai
21,Aaliyah Alleyne,131,145,19,19,13,0,13,61,54,8,3,West Indies,0,0,1,49,19,90.3448275862069,11.153846153846153,11.153846153846153,62.698412698412696,10.076923076923077,42.06896551724138,2019/20,2024,19,Alleyne,A Alleyne
23,Abtaha Maqsood,6,9,3,3,1,0,0,5,0,3,0,Scotland,0,0,0,4,3,66.66666666666666,9.0,9.0,75.0,6.0,55.55555555555556,2021/22,2024,3,Maqsood,A Maqsood
24,Afy Fletcher,72,74,21,21,13,0,5,27,23,13,1,West Indies,0,0,0,14,21,97.2972972972973,5.6923076923076925,14.8,81.25,5.538461538461538,36.486486486486484,2018/19,2024,21,Fletcher,A Fletcher
25,Ailsa Lister,30,30,3,3,2,0,4,12,11,0,1,Scotland,0,0,0,13,3,100.0,15.0,7.5,58.333333333333336,15.0,40.0,2021/22,2024,3,Lister,A Lister
27,Alana King,9,14,3,3,2,0,1,9,3,1,0,Australia,0,0,0,7,3,64.28571428571429,7.0,14.0,38.46153846153847,4.5,64.28571428571429,2022,2022/23,3,King,A King
28,Alice Capsey,296,283,23,23,17,7,37,132,86,10,0,England,0,2,1,51,23,104.59363957597174,16.647058823529413,6.431818181818182,46.49122807017544,17.41176470588235,46.64310954063604,2022,2024,23,Capsey,A Capsey
29,Aliya Riaz,390,456,49,49,29,7,32,197,161,28,1,Pakistan,0,0,2,35,49,85.52631578947368,15.724137931034482,11.692307692307692,56.84754521963824,13.448275862068966,43.20175438596491,2014,2024,49,Riaz,A Riaz
30,Alyssa Healy,1271,1000,80,80,53,29,168,399,302,54,5,Australia,1,5,9,148,80,127.1,18.867924528301888,5.0761421319796955,55.92105263157895,23.9811320754717,39.900000000000006,2010,2023/24,80,Healy,A Healy
