batsman,runs,ball,innings,matches_x,dismissals,sixes,fours,dots,ones,twos,threes,batting_team,hundreds,fifties,thirties,highest_score,matches_y,fantasy_points,SR,BPD,BPB,nbdry_sr,AVG,dot_percentage,fantasy_points_per_match,debut_year,final_year,matches
Aaliyah Alleyne,132,147,20,20,13,0,13,62,55,8,3,West Indies,,,1,49,20,328,89.79591837,11.30769231,11.30769231,62.5,10.15384615,42.17687075,16.4,2019/20,2024,20
Abbi Aitken-Drummond,119,155,12,12,9,1,12,75,53,6,0,Scotland,,,1,43,12,163,76.77419355,17.22222222,11.92307692,48.50746269,13.22222222,48.38709677,13.58333333,2021,2024,12
Abtaha Maqsood,23,45,9,9,6,0,0,25,11,6,0,Scotland,,,,9,9,23,51.11111111,7.5,45,54.76190476,3.833333333,55.55555556,2.555555556,2021,2024,9
Achini Kulasuriya,11,28,7,7,2,0,0,14,11,0,0,Sri Lanka,,,,6,7,7,39.28571429,14,28,44,5.5,50,1,2018/19,2023/24,7
Afy Fletcher,72,74,21,21,13,0,5,27,23,13,1,West Indies,,,,14,21,179,97.2972973,5.692307692,14.8,81.25,5.538461538,36.48648649,8.523809524,2018/19,2024,21
Ailsa Lister,387,284,20,20,16,8,47,94,82,30,3,Scotland,,3,1,68,20,541,136.2676056,17.75,5.163636364,72.24880383,24.1875,33.09859155,27.05,2021,2024,20
Alana King,9,14,3,3,2,0,1,9,3,1,0,Australia,,,,7,3,31,64.28571429,7,14,38.46153846,4.5,64.28571429,10.33333333,2022,2022/23,3
Alice Capsey,296,283,23,23,17,7,37,132,86,10,0,England,,2,1,51,23,880,104.5936396,16.64705882,6.431818182,46.49122807,17.41176471,46.64310954,38.26086957,2022,2024,23
Aliya Riaz,487,537,56,56,31,10,39,218,199,33,2,Pakistan,,1,2,57,56,1145,90.68901304,17.32258065,10.95918367,59.95575221,15.70967742,40.59590317,20.44642857,2014,2024,56
Alyssa Healy,1285,1023,85,85,55,29,170,413,306,55,5,Australia,1,5,9,148,85,3379,125.6109482,18.6,5.140703518,55.32734275,23.36363636,40.3714565,39.75294118,2010,2023/24,85
Ama Kanchana,102,116,23,23,16,0,10,44,46,8,0,Sri Lanka,,,,19,23,166,87.93103448,7.25,11.6,63.26530612,6.375,37.93103448,7.217391304,2012/13,2024,23
Amelia Kerr,528,486,34,34,20,0,51,158,213,51,3,New Zealand,,1,5,66,34,1324,108.6419753,24.3,9.529411765,76.23529412,26.4,32.51028807,38.94117647,2016/17,2024,34
Amy Jones,1110,876,66,66,49,18,136,304,328,59,4,England,,4,9,89,66,1874,126.7123288,17.87755102,5.688311688,65.89928058,22.65306122,34.70319635,28.39393939,2013/14,2024,66
Annabel Sutherland,57,45,7,7,6,1,7,17,15,4,0,Australia,,,,19,7,142,126.6666667,7.5,5.625,63.88888889,9.5,37.77777778,20.28571429,2019/20,2023/24,7
Anneke Bosch,329,288,17,17,14,5,37,114,105,20,2,South Africa,,2,2,61,17,848,114.2361111,20.57142857,6.857142857,62.65560166,23.5,39.58333333,49.88235294,2019/20,2024,17
