bowler,innings,balls,runs,wkts,sixes,fours,dots,three_wicket_hauls,maiden_overs,fantasy_points,dot%,avg,fantasy_points_per_match,sr,econ
Aaliyah Alleyne,24,308,347,10,7,46,127,0,1,288,41.23376623,34.7,12,30.8,6.75974026
Abbi Aitken-Drummond,6,78,54,4,1,5,42,0,7,136,53.84615385,13.5,22.66666667,19.5,4.153846154
Abtaha Maqsood,30,446,401,24,3,31,183,1,7,754,41.03139013,16.70833333,25.13333333,18.58333333,5.394618834
Achini Kulasuriya,27,321,390,11,4,59,132,0,13,331,41.12149533,35.45454545,12.25925926,29.18181818,7.289719626
Afy Fletcher,48,776,794,31,13,67,285,2,8,959,36.72680412,25.61290323,19.97916667,25.03225806,6.139175258
Alana King,17,257,223,15,4,19,112,3,7,523,43.57976654,14.86666667,30.76470588,17.13333333,5.206225681
Alice Capsey,6,24,29,1,0,4,7,0,1,31,29.16666667,29,5.166666667,24,7.25
Aliya Riaz,25,249,316,12,6,41,91,0,3,320,36.54618474,26.33333333,12.8,20.75,7.614457831
Ama Kanchana,21,190,213,3,3,25,67,0,2,101,35.26315789,71,4.80952381,63.33333333,6.726315789
Amelia Kerr,49,865,878,35,10,80,314,3,12,1083,36.30057803,25.08571429,22.10204082,24.71428571,6.09017341
Annabel Sutherland,17,254,220,10,1,28,107,1,2,298,42.12598425,22,17.52941176,25.4,5.196850394
Anneke Bosch,8,98,122,6,2,13,33,0,1,160,33.67346939,20.33333333,20,16.33333333,7.469387755
Annerie Dercksen,5,46,44,2,0,7,19,0,0,62,41.30434783,22,12.4,23,5.739130435
Arundhati Reddy,19,303,375,11,3,50,105,0,9,295,34.65346535,34.09090909,15.52631579,27.54545455,7.425742574
Ashleigh Gardner,55,764,793,36,13,85,317,1,23,1070,41.4921466,22.02777778,19.45454545,21.22222222,6.227748691
Asha Sobhana,3,26,43,0,1,5,7,0,1,0,26.92307692,,0,,9.923076923
Ashmini Munisar,3,74,51,2,0,2,28,0,0,66,37.83783784,25.5,22,37,4.135135135
Ayabonga Khaka,32,537,590,16,8,66,189,1,10,500,35.19553073,36.875,15.625,33.5625,6.592178771
Ayanda Hlubi,1,25,14,2,0,1,14,0,0,56,56,7,56,12.5,3.36
Brooke Halliday,4,45,47,1,0,5,15,0,0,33,33.33333333,47,8.25,45,6.266666667
Chamari Athapaththu,42,596,628,24,7,61,207,2,9,776,34.73154362,26.16666667,18.47619048,24.83333333,6.322147651
Charlie Dean,19,205,207,10,3,20,77,0,5,290,37.56097561,20.7,15.26315789,20.5,6.058536585
Chedean Nation,1,1,1,0,0,0,0,0,0,0,0,,0,,6
Chinelle Henry,26,266,291,6,6,35,112,0,9,190,42.10526316,48.5,7.307692308,44.33333333,6.563909774
Chloe Abel,7,70,55,3,1,4,27,0,3,95,38.57142857,18.33333333,13.57142857,23.33333333,4.714285714
Chloe Tryon,36,382,398,13,2,45,135,1,3,399,35.34031414,30.61538462,11.08333333,29.38461538,6.251308901
Danielle Gibson,9,112,118,4,2,10,46,0,1,122,41.07142857,29.5,13.55555556,28,6.321428571
Danni Wyatt,14,209,177,8,1,14,89,0,11,230,42.58373206,22.125,16.42857143,26.125,5.081339713
Darcey Carter,5,50,65,0,2,6,15,0,1,2,30,,0.4,,7.8
Darcie Brown,24,345,316,14,4,47,172,0,15,426,49.85507246,22.57142857,17.75,24.64285714,5.495652174
Dayalan Hemalatha,4,56,63,2,2,5,21,0,0,56,37.5,31.5,14,28,6.75
Deandra Dottin,26,338,332,21,4,42,137,0,8,667,40.53254438,15.80952381,25.65384615,16.0952381,5.893491124
Deepti Sharma,75,1289,1312,68,24,125,519,5,33,2034,40.26377036,19.29411765,27.12,18.95588235,6.107059736
Diana Baig,35,558,525,26,5,69,271,1,24,832,48.56630824,20.19230769,23.77142857,21.46153846,5.64516129
Disha Biswas,1,1,1,0,0,0,0,0,0,0,0,,0,,6
Eden Carson,14,260,232,16,3,22,106,0,0,498,40.76923077,14.5,35.57142857,16.25,5.353846154
Ellyse Perry,69,881,738,50,8,93,460,3,33,1544,52.21339387,14.76,22.37681159,17.62,5.026106697
Fahima Khatun,47,758,735,35,6,73,308,3,22,1111,40.63324538,21,23.63829787,21.65714286,5.817941953
Fatima Sana,26,530,569,23,4,72,208,2,18,673,39.24528302,24.73913043,25.88461538,23.04347826,6.441509434
Fran Jonas,23,380,376,18,4,44,164,2,16,550,43.15789474,20.88888889,23.91304348,21.11111111,5.936842105
Freya Kemp,12,108,112,7,2,17,52,0,3,199,48.14814815,16,16.58333333,15.42857143,6.222222222
Georgia Wareham,37,533,467,34,12,36,243,4,1,1072,45.59099437,13.73529412,28.97297297,15.67647059,5.257035647
Grace Harris,6,46,37,3,1,2,19,0,2,99,41.30434783,12.33333333,16.5,15.33333333,4.826086957
Hannah Rainey,24,288,217,14,0,21,127,0,6,464,44.09722222,15.5,19.33333333,20.57142857,4.520833333
Hannah Rowe,26,252,317,12,2,46,94,1,4,322,37.3015873,26.41666667,12.38461538,21,7.547619048
Hansima Karunaratne,1,6,15,0,0,3,0,0,0,0,0,,0,,15
Harmanpreet Kaur,23,215,231,14,3,25,78,1,2,434,36.27906977,16.5,18.86956522,15.35714286,6.446511628
Hayley Matthews,47,896,902,56,11,88,363,8,2,1640,40.51339286,16.10714286,34.89361702,16,6.040178571
Heather Knight,21,240,254,8,0,27,77,2,0,256,32.08333333,31.75,12.19047619,30,6.35
Inoka Ranaweera,36,560,565,35,18,37,210,4,9,1069,37.5,16.14285714,29.69444444,16,6.053571429
Inoshi Priyadharshani,26,408,393,26,5,43,188,4,11,748,46.07843137,15.11538462,28.76923077,15.69230769,5.779411765
Iram Javed,4,30,26,1,0,2,7,0,1,25,23.33333333,26,6.25,30,5.2
Jahanara Alam,42,670,636,33,9,77,322,5,19,1141,48.05970149,19.27272727,27.16666667,20.3030303,5.695522388
Jemimah Rodrigues,2,2,0,0,0,0,2,0,2,0,100,,0,,0
Jess Kerr,23,356,399,8,4,57,162,0,8,248,45.50561798,49.875,10.7826087,44.5,6.724719101
Karishma Ramharack,16,261,327,13,8,34,101,1,6,373,38.69731801,25.15384615,23.3125,20.07692308,7.517241379
Katherine Fraser,22,313,264,18,3,25,151,4,17,610,48.2428115,14.66666667,27.72727273,17.38888889,5.060702875
Kathryn Bryce,27,453,303,26,0,24,235,3,21,874,51.87637969,11.65384615,32.37037037,17.42307692,4.013245033
Kavisha Dilhari,44,689,644,29,8,68,300,1,13,941,43.5413643,22.20689655,21.38636364,23.75862069,5.608127721
Kawya Kavindi,7,66,52,2,0,7,27,0,2,68,40.90909091,26,9.714285714,33,4.727272727
Kim Garth,5,71,87,3,1,16,35,0,1,87,49.29577465,29,17.4,23.66666667,7.352112676
Lauren Bell,20,213,219,8,0,31,86,1,8,234,40.37558685,27.375,11.7,26.625,6.169014085
Lea Tahuhu,53,720,723,38,11,93,318,2,14,1120,44.16666667,19.02631579,21.13207547,18.94736842,6.025
Leigh Kasperek,29,527,584,37,8,52,192,6,2,1061,36.43263757,15.78378378,36.5862069,14.24324324,6.648956357
Linsey Smith,10,161,145,7,3,12,69,1,0,227,42.85714286,20.71428571,22.7,23,5.403726708
Maddy Green,2,13,7,1,0,0,6,0,0,31,46.15384615,7,15.5,13,3.230769231
Marizanne Kapp,55,824,712,38,4,84,386,4,30,1212,46.84466019,18.73684211,22.03636364,21.68421053,5.184466019
Marufa Akter,18,237,248,9,2,36,110,0,9,287,46.41350211,27.55555556,15.94444444,26.33333333,6.278481013
Megan McColl,10,96,71,8,1,8,55,1,9,250,57.29166667,8.875,25,12,4.4375
Megan Schutt,72,1144,1104,62,18,123,500,7,43,1906,43.70629371,17.80645161,26.47222222,18.4516129,5.79020979
Ritu Moni,20,265,233,14,1,27,130,1,20,438,49.05660377,16.64285714,21.9,18.92857143,5.275471698
Nadine de Klerk,31,451,477,23,7,62,174,2,11,679,38.58093126,20.73913043,21.90322581,19.60869565,6.345898004
Nahida Akter,51,950,921,54,10,93,422,4,48,1734,44.42105263,17.05555556,34,17.59259259,5.816842105
Nashra Sandhu,32,629,606,23,9,48,256,1,25,701,40.69952305,26.34782609,21.90625,27.34782609,5.780604134
Nat Sciver-Brunt,11,123,131,5,2,14,48,0,1,153,39.02439024,26.2,13.90909091,24.6,6.390243902
Nida Dar,83,1406,1375,63,20,111,550,3,32,1917,39.11806543,21.82539683,23.09638554,22.31746032,5.867709815
Nilakshika de Silva,10,71,70,4,2,7,31,0,3,128,43.66197183,17.5,12.8,17.75,5.915492958
Nonkululeko Mlaba,34,585,571,23,7,59,247,1,21,701,42.22222222,24.82608696,20.61764706,25.43478261,5.856410256
Olivia Bell,3,26,21,1,0,2,12,0,1,41,46.15384615,21,13.66666667,26,4.846153846
