Player,Country,Age,Batting Style,Bowling Style,Role,Debut Year
Harmanpreet Kaur (c),India,35,Right-hand bat,Right-arm medium-fast,All-Rounder,2009
Smriti Mandhana,India,28,Left-hand bat,Right-arm off-spin,Batter,2013
Shafali Verma,India,20,Right-hand bat,Right arm Offbreak,Batter,2019
Deepti Sharma,India,27,Left-hand bat,Right-arm off-break,All-Rounder,2014
Jemimah Rodrigues,India,24,Right-hand bat,Right arm Offbreak,Batter,2018
Richa Ghosh (wk),India,20,Right-hand bat,Right-arm medium,Wicketkeeper,2020
Yastika Bhatia (wk),India,24,Left-hand bat,Slow left-arm orthodox,Wicketkeeper,2021
Pooja Vastrakar,India,25,Right-hand bat,Right-arm medium-fast,All-Rounder,2018
Arundhati Reddy,India,27,Right-hand bat,Right-arm medium-fast,Bowler,2018
Asha Sobhana,India,33,Right-hand bat,Legbreak Googly,All-Rounder,2024
Dayalan Hemalatha,India,30,Right-hand bat,Right-arm off-break,All-Rounder,2018
Radha Yadav,India,24,Right-hand bat,Left-arm orthodox,Bowler,2018
Renuka Singh Thakur,India,28,Right-hand bat,Right-arm medium-fast,Bowler,2021
Sajeevan Sajana,India,29,Right-hand bat,Right arm Offbreak,All-Rounder,2024
Shreyanka Patil,India,22,Right-hand bat,Right-arm Offbreak,Bowler/All-Rounder,2023
Alyssa Healy (c),Australia,34,Right-hand bat,Right-arm wicketkeeper,Wicketkeeper-Batter,2010
Darcie Brown,Australia,21,Right-hand bat,Right-arm fast,Bowler,2021
Ash Gardner,Australia,27,Right-hand bat,Right-arm off-break,All-Rounder,2016
Kim Garth,Australia,28,Right-hand bat,Right-arm medium-fast,All-Rounder,2010
Grace Harris,Australia,31,Right-hand bat,Right-arm off break,All-Rounder,2015
Alana King,Australia,28,Right-hand bat,Legbreak ,All-Rounder,2021
Phoebe Litchfield,Australia,21,Left-hand bat,Legbreak,Batter,2022
Tahlia McGrath (vc),Australia,28,Right-hand bat,Right-arm medium-fast,All-Rounder,2016
Sophie Molineux,Australia,26,Left-hand bat,Left-arm orthodox,Bowler/All-Rounder,2018
Beth Mooney,Australia,30,Left-hand bat,Right-Arm Medium,Wicketkeeper-Batter,2016
Ellyse Perry,Australia,33,Right-hand bat,Right-arm fast-medium/Off-spin,Bowler/All-Rounder,2007
Megan Schutt,Australia,31,Right-hand bat,Right-arm fast seam,Bowler,2012
Annabel Sutherland,Austrailia 22 ,22,Right-hand bat,Right-arm fast seam,All-Rounder,2020
Tayla Vlaeminck , Australia ,25, Right-hand bat , Right-arm fast seam, Bowler ,2018
Georgia Wareham , Australia ,25, Right-hand bat , Right-arm leg-spin ,All-Rounder ,2018
Heather Knight ©,England,33,Right-hand bat,Right-Arm Off Spin,Batter,2009
Lauren Bell,England,23,Right-hand bat,Right-Arm Fast Seam,Bowler,2022
Maia Bouchier,England,25,Right-hand bat,Right arm Medium,Batter,2021
Alice Capsey,England,20,Right-hand bat,Right arm Offbreak,All-Rounder,2022
Charlie Dean,England,24,Right-hand bat,Right arm Offbreak,Bowler/All-Rounder,2021
Sophia Dunkley,England,26,Right-hand bat,Legbreak,Batter,2018
Sophie Ecclestone,England,25,Right-hand bat,Left-arm orthodox,Bowler,2016
Danielle Gibson,England,23,Right-hand bat,Right arm Medium,Bowler/All-Rounder,2023
Sarah Glenn,England,25,Right-hand bat,Legbreak,Bowler/All-Rounder,2019
Bess Heath (wk),England,23,Right-hand bat,Right-Arm Medium,Wicketkeeper-Batter,2023
Amy Jones (wk),England,31,Right-hand bat,Right arm medium,Wicketkeeper-Batter,2013
Freya Kemp,England,19,Left-hand bat,Left arm Medium,Bowler/All-Rounder,2022
Nat Sciver-Brunt,England,32,Right-hand bat,Right arm Medium,Bowler/All-Rounder,2013
Linsey Smith,England,28,Left-hand bat,left-arm orthodox,Bowler,2018
Danni Wyatt,England,33,right-hand bat,Right arm Offbreak,Batter,2010
Chamari Athapaththu (c),Sri Lanka,34,Left-hand bat,Right-arm off-break,All-Rounder,2008
Hasini Perera,Sri Lanka,29,Left-hand bat,Right-arm medium fast,Batter,2014
Harshitha Samarawickrama,Sri Lanka,26,Left-hand bat,Right-arm slow medium,Batter,2016
Ama Kanchana,Sri Lanka,33,Right-hand bat,Right arm fast medium,All-Rounder,2013
Inoshi Priyadharshini,Sri Lanka,37,Right-hand bat,Right arm Offbreak,Bowler,2014
Kavisha Dilhari,Sri Lanka,23,Right-hand bat,"Right-arm off-break, Legbreak",All-Rounder,2018
Anushka Sanjeewani (wk),Sri Lanka,34,Right-hand bat,N/A,Wicketkeeper-Batter,2014
Nilakshi de Silva,Sri Lanka,34,Right-hand bat,Right-arm medium,All-Rounder,2013
Oshadi Ranasinghe,Sri Lanka,38,Left-hand bat,Right-arm off-break,Bowler,2011
Inoka Ranaweera,Sri Lanka,38,Left-hand bat,Slow left-arm orthodox,Bowler,2012
Sugandika Kumari,Sri Lanka,33,Left-hand bat,Slow left-arm orthodox,Bowler,2015
Achini Kulasuriya,Sri Lanka,34,Left-hand bat,Right-arm medium,Bowler,2015
Udeshika Prabodhani,Sri Lanka,39,Right-hand bat,Left-arm medium,Bowler,2009
Vishmi Gunaratne,Sri Lanka,19,Right-hand bat,Right arm Medium fast,Batter,2021
Hansima Karunaratne,Sri Lanka,30,Right-hand bat,Right-arm medium,Batter,2016
Kawya Kavindi,Sri Lanka,21,Right-hand bat,Right-arm medium fast,Bowler,2023
Sachini Nisansala,Sri Lanka,22,Left-hand bat,Slow left-arm orthodox,Bowler,2021
Shashini Gimhani,Sri Lanka,15,Right-hand bat,Left arm wrist spin,Bowler,2024
Fatima Sana (c),Pakistan,22,Right-hand bat,Right-arm medium-fast,All-Rounder,2019
Aliya Riaz,Pakistan,32,Right-hand bat,Right-arm medium-fast,All-Rounder,2014
Diana Baig,Pakistan,28,Right-hand bat,Right-arm fast,Bowler,2018
Gull Feroza,Pakistan,25,Right-hand bat,N/A,Wicketkeeper Batter,2022
Iram Javed,Pakistan,32,Right-hand bat,Right arm Medium fast,Batter,2013
Muneeba Ali,Pakistan,27,Left-hand bat,N/A,Wicketkeeper-Batter,2016
Nashra Sundhu,Pakistan,26,Left-hand bat,Slow left-arm orthodox,Bowler,2017
Nida Dar,Pakistan,37,Right-hand bat,Right-arm off-break,All-Rounder,2010
Omaima Sohail,Pakistan,27,Right-hand bat,Right arm Offbreak,Batter,2018
Sadaf Shamas,Pakistan,25,Right-hand bat,Right arm medium,Batter,2022
Sadia Iqbal,Pakistan (subject to fitness),29,Left-hand bat,Slow left-arm orthodox,Bowler,2019
Sidra Amin,Pakistan,32,Right-hand bat,Right arm Medium fast,Batter,2011
