player_name,birth,age,batting_style,bowling_style
Alyssa Jean Healy,"March 24, 1990, Gold Coast, Queensland",34y 186d,Right hand Bat,Wicketkeeper
Phoebe Litchfield,18-Apr-23,21y 161d,Left hand Bat,Legbreak
Bethany Louise Mooney,"January 14, 1994, Shepparton, Victoria",30y 256d,Left hand Bat,Wicketkeeper
Ashleigh Katherine Gardner,"April 15, 1997, Bankstown, Sydney, New South Wales",27y 164d,Right hand Bat,Right arm Offbreak
Kimberley Jennifer Garth,"April 25, 1996, Dublin",28y 154d,Right hand Bat,Right arm Medium fast
Grace Margaret Harris,18-Sep-93,31y 8d,Right hand Bat,Right arm Offbreak
Alana Maria King,22-Nov-95,28y 309d,Right hand Bat,Legbreak
Tahlia May McGrath,10-Nov-95,28y 321d,Right hand Bat,Right arm Medium
Ellyse Alexandra Perry,"November 03, 1990, Wahroonga, Sydney, New South Wales",33y 328d,Right hand Bat,Right arm Fast medium
Annabel Sutherland,12-Oct-01,22y 350d,Right hand Bat,Right arm Medium fast
Darcie R Brown,"March 07, 2003, Kapunda, South Australia, Australia",21y 203d,Right hand Bat,Right arm Fast
Sophie Molineux,17-Jan-98,26y 253d,Left hand Bat,Slow Left arm Orthodox
Megan Schutt,"January 15, 1993, Adelaide, South Australia",31y 255d,Right hand Bat,Right arm Fast medium
Tayla Jade Vlaeminck,"October 27, 1998, Bendigo, Victoria",25y 335d,Right hand Bat,Right arm Fast
Georgia Wareham,"May 26, 1999, Terang, Victoria",25y 123d,Right hand Bat,Legbreak
Nigar Sultana Joty,1-Aug-97,27y 56d,Joty,Right hand Bat
Dilara Akter Dola,"April 06, 2004, Dinajpur",20y 173d,Right hand Bat,Wicketkeeper
Sobhana Mostary,"February 13, 2002, Rangpur",22y 226d,Right hand Bat,Right arm Medium
Murshida Khatun,7-Jul-99,25y 81d,Left hand Bat,Opening Batter
Shathi Rani,19-Jun-98,26y 99d,Right hand Bat,Opening Batter
Taj Nehar,"October 03, 1997, Patuakhali",26y 359d,Right hand Bat,Right arm Offbreak
Disha Biswas,"April 03, 2004, Magura",20y 176d,Right hand Bat,Right arm Fast medium
Rabeya Khan,"March 11, 2005, Barisal",19y 199d,Right hand Bat,Legbreak
MST. Ritu Moni,"February 05, 1993, Bogra",31y 234d,Right hand Bat,Right arm Medium
Shorna Akter,"January 01, 2007, Jamalpur",17y 269d,Right hand Bat,Legbreak
Fahima Khatun,2-Nov-92,31y 329d,Right hand Bat,Legbreak
Jahanara Alam,"April 01, 1993, Khulna",31y 178d,Right hand Bat,Right arm Medium
Marufa Akter,"January 01, 2005, Nilphamari",19y 269d,Right hand Bat,Right arm Medium fast
Nahida Akter,2-Mar-00,24y 208d,Right hand Bat,Slow Left arm Orthodox
Sultana Khatun,5-Feb-96,28y 234d,Right hand Bat,Right arm Offbreak
Heather Clare Knight,"December 26, 1990, Plymouth",33y 275d,Right hand Bat,Right arm Offbreak
Maia Emily Bouchier,"December 05, 1998, Kensington, Middlesex",25y 296d,Right hand Bat,Right arm Medium
Sophia Ivy Rose Dunkley,"July 16, 1998, Lambeth, Surrey",26y 72d,Right hand Bat,Legbreak
Bess Alice May Heath,"August 20, 2001, Chesterfield, Derbyshire",23y 37d,Right hand Bat,Wicketkeeper
Amy Ellen Jones,"June 13, 1993, Sutton Coldfield, West Midlands",31y 105d,Right hand Bat,Wicketkeeper
Danielle Nicole Wyatt,"April 22, 1991, Stoke-on-Trent, Staffordshire",33y 157d,Right hand Bat,Right arm Offbreak
Alice Capsey,11-Aug-04,20y 46d,Right hand Bat,Right arm Offbreak
Charlotte Ellen Dean,"December 22, 2000, Burton-on-Trent",23y 279d,Right hand Bat,Right arm Offbreak
Danielle Rose Gibson,"April 30, 2001, Cheltenham, Gloucestershire",23y 149d,Right hand Bat,Right arm Medium
Sarah Glenn,"August 27, 1999, Derby",25y 30d,Right hand Bat,Legbreak
Freya Grace Kemp,"April 21, 2005, London",19y 158d,Left hand Bat,Left arm Medium
Natalie Ruth Sciver-Brunt,"August 20, 1992, Tokyo",32y 37d,Natalie Ruth Sciver,Right hand Bat
Lauren Katie Bell,"January 02, 2001, Swindon, Wiltshire",23y 268d,The Shard,Right hand Bat
Sophie Ecclestone,"May 06, 1999, Chester, Cheshire",25y 143d,Right hand Bat,Slow Left arm Orthodox
Linsey Claire Neale Smith,"March 10, 1995, Hillingdon, Middlesex",29y 200d,Left hand Bat,Slow Left arm Orthodox
Smriti Shriniwas Mandhana,"July 18, 1996, Bombay (now Mumbai), Maharashtra",28y 70d,Left hand Bat,Right arm Medium
Yastika Harish Bhatia,"November 01, 2000, Baroda (now Vadodara), Gujarat",23y 330d,Left hand Bat,Wicketkeeper
Richa Manabendra Ghosh,"September 28, 2003, Siliguri, West Bengal",20y 364d,Right hand Bat,Right arm Medium
Dayalan Hemalatha,"September 29, 1994, Madras (now Chennai), Tamil Nadu",29y 363d,Right hand Bat,Right arm Offbreak
Jemimah Ivan Rodrigues,"September 05, 2000, Mumbai, Maharashtra",24y 21d,Right hand Bat,Right arm Offbreak
Shafali Verma,"January 28, 2004, Rohtak, Haryana",20y 242d,Right hand Bat,Right arm Offbreak
Harmanpreet Kaur Bhullar,"March 08, 1989, Punjab",35y 202d,Right hand Bat,Right arm Offbreak
Shreyanka Rajesh Patil,"July 31, 2002, Bangalore, Karnataka",22y 57d,Right hand Bat,Right arm Offbreak
Sajeevan Sajana,"January 04, 1995, Mananthavadi, Wayanad, Kerala",29y 266d,Right hand Bat,Right arm Offbreak
Deepti Bhagwan Sharma,"August 24, 1997, Agra, Uttar Pradesh",27y 33d,Left hand Bat,Right arm Offbreak
 Asha Sobhana,"March 16, 1991, Trivandrum, Kerala",33y 194d,Right hand Bat,Legbreak Googly
Arundhati Reddy,10-Apr-97,27y 169d,Right hand Bat,Right arm Medium fast
Renuka Singh Thakur,"January 02, 1996, Shimla, Himachal Pradesh",28y 268d,Right hand Bat,Right arm Medium fast
Pooja Vastrakar,"September 25, 1999, Bilaspur, Madhya Pradesh",25y 1d,Right hand Bat,Right arm Medium
Radha Prakash Yadav,"April 21, 2000, Mumbai, Maharashtra",24y 158d,Right hand Bat,Slow Left arm Orthodox
Isabella Charli Gaze,"Haarlem, Netherlands, Haarlem",20y 141d,Right hand Bat,Wicketkeeper
Madeline Lee Green,"October 20, 1992, Auckland",31y 342d,Right hand Bat,Right arm Offbreak
Georgia Ellen Plimmer,"February 08, 2004, Wellington",20y 231d,Right hand Bat,Right arm Medium
Sophie Frances Monique Devine,"September 01, 1989, Wellington",35y 25d,Right hand Bat,Right arm Medium
Suzannah Wilson Bates,"September 16, 1987, Dunedin, Otago",37y 10d,Right hand Bat,Right arm Medium
Brooke Maree Halliday,"October 30, 1995, Hamilton",28y 332d,Left hand Bat,Right arm Medium
Amelia Charlotte Kerr,"October 13, 2000, Wellington",23y 349d,Right hand Bat,Legbreak
Eden Jean Carson,"August 08, 2001, Dunedin, Otago",23y 49d,Right hand Bat,Right arm Offbreak
Frances Cecilia Jonas,"April 08, 2004, Auckland",20y 171d,Right hand Bat,Slow Left arm Orthodox
Leigh Meghan Kasperek,"February 15, 1992, Edinburgh, Midlothian",32y 224d,Right hand Bat,Right arm Offbreak
Jessica Mackenzie Kerr,"January 18, 1998, Wellington",26y 252d,Right hand Bat,Right arm Medium
Rosemary Alison Mair,"November 07, 1998, Napier",25y 324d,Right hand Bat,Right arm Medium
Molly Mae Penfold,"June 15, 2001, London",23y 103d,Right hand Bat,Right arm Medium
Hannah Maree Rowe,"October 03, 1996, Palmerston North",27y 359d,Right hand Bat,Right arm Medium
Lea-Marie Maureen Tahuhu,"September 23, 1990, Christchurch, Canterbury",34y 3d,Right hand Bat,Right arm Medium fast
Gull Feroza,28-Dec-98,25y 273d,Right hand Bat,Wicketkeeper
Iram Javed,"December 16, 1991, Lahore, Punjab",32y 285d,Right hand Bat,Right arm Medium fast
Muneeba Ali Siddiqi,"August 08, 1997, Karachi, Sind",27y 49d,Left hand Bat,Wicketkeeper Batter
Omaima Sohail,"July 11, 1997, Karachi, Sind",27y 77d,Umaima Sohail,Right hand Bat
Sadaf Shamas,"December 30, 1998, Lahore, Punjab, Pakistan",25y 271d,Right hand Bat,Right arm Medium
Sidra Amin,"April 07, 1992, Lahore, Punjab",32y 172d,Right hand Bat,Right arm Medium fast
Fatima Sana,"November 08, 2001,  Karachi, Sind",22y 323d,Right hand Bat,Right arm Medium
Aliya Riaz,"September 24, 1992, Rawalpindi, Punjab",32y 2d,Right hand Bat,Right arm Medium
Nida Rashid Dar,"January 02, 1987, Gujranwala, Punjab",37y 268d,Nida Rashid,Right hand Bat
Syeda Aroob Shah,"December 31, 2003, Karachi",20y 270d,Right hand Bat,Legbreak Googly
Diana Baig,"October 15, 1995, Gilgit, Northern Areas",28y 347d,Right hand Bat,Right arm Medium
Nashra Sandhu,"November 19, 1997, Lahore, Punjab",26y 312d,Right hand Bat,Slow Left arm Orthodox
Sadia Iqbal,"August 05, 1995, G Muhamadabad, Punjab",29y 52d,Left hand Bat,Slow Left arm Orthodox
Tasmia Rubab,20-Dec-02,21y 281d,Right hand Bat,Left arm Medium fast
Tuba Hassan,18-Oct-00,23y 344d,Right hand Bat,Legbreak
Sarah Jennifer Bryce,"January 08, 2000, Edinburgh",24y 262d,Right hand Bat,Wicketkeeper
Ailsa Lister,"April 08, 2004, Elgin, Moray",20y 171d,Right hand Bat,Wicketkeeper
Kathryn Emma Bryce,"November 17, 1997, Edinburgh",26y 314d,Right hand Bat,Right arm Medium
Olivia Bell,12-Nov-03,20y 319d,Right hand Bat,Right arm Offbreak
Darcey Elizabeth Morris Carter,31-May-05,19y 118d,Right hand Bat,Right arm Offbreak
Katherine Fraser,9-Apr-05,19y 170d,Right hand Bat,Right arm Offbreak
Saskia Horley,"February 23, 2000, St Leonards",24y 216d,Right hand Bat,Right arm Offbreak
Abtaha Mahin Maqsood,"June 11, 1999, Glasgow",25y 107d,Right hand Bat,Legbreak
Rachel Elizabeth Slater,"November 20, 2001, Glens Falls, New York,",22y 311d,Right hand Bat,Left arm Medium
Chloe Grace Abel,"December 03, 2003, Hobart, Tasmania",20y 298d,Right hand Bat,Right arm Medium
Abbi Aitken-Drummond,"April 11, 1991, Dundee",33y 168d,Right hand Bat,Right arm Medium
Priyanaz Anjum Chatterji,"August 12, 1993, Dundee, Angus, Scotland",31y 45d,Right hand Bat,Right arm Medium
Lorna Jack,"November 24, 1992, Paisley, Renfrewshire",31y 307d,Right hand Bat,Wicketkeeper
Megan McColl,15-Nov-00,23y 316d,Right hand Bat,Right arm Medium
Hannah R A Rainey,"June 02, 1997, London",27y 116d,Right hand Bat,Right arm Medium
Laura Wolvaardt,"April 26, 1999, Milnerton, Cape Town",25y 153d,Right hand Bat,Opening Batter
Tazmin Brits,"January 08, 1991, Klerksdorp, North West Province",33y 262d,Tazz,Right hand Bat
Mieke de Ridder,19-Jan-96,28y 251d,Right hand Bat,Wicketkeeper
Sinalo Jafta,"December 22, 1994, East London",29y 279d,Right hand Bat,Wicketkeeper
Anneke Elizabeth Bosch,"August 17, 1993, East London",31y 40d,Right hand Bat,"Right arm Medium, Right arm Offbreak"
Nadine de Klerk,16-Jan-00,24y 254d,Right hand Bat,Right arm Medium
Annerie Dercksen,"April 26, 2001, Beaufort West, Western Cape",23y 153d,Right hand Bat,Right arm Medium
Marizanne Kapp,"January 04, 1990, Port Elizabeth, Cape Province",34y 266d,Kappie,Right hand Bat
Sune Luus,5-Jan-96,28y 265d,Right hand Bat,Legbreak
Seshnie Naidu,5-Jan-06,18y 265d,Right hand Bat,Legbreak
Chloe-Lesleigh  Tryon,"January 25, 1994, Kingsway, Durban",30y 245d,Right hand Bat,Slow Left arm Orthodox
Ayanda Hlubi,16-Jul-04,20y 72d,Right hand Bat,Right arm Medium
Ayabonga Khaka,18-Jul-92,32y 70d,Right hand Bat,Right arm Medium
Nonkululeko Mlaba,27-Jun-00,24y 91d,Right hand Bat,Slow Left arm Orthodox
Tumi Sphindile Sekhukhune,"November 21, 1998, Daveyton, Johannesburg",25y 310d,Stumza,Left hand Bat
