,batsman,innings,runs,batting_team,ball,dismissals,sixes,fours,dots,ones,twos,threes,hundreds,fifties,thirties,highest_score,matches_x,matches_y,SR,BPD,BPB,nbdry_sr,AVG,dot_percentage,debut_year,final_year,surname,initial
0,Abbi Aitken-Drummond,16,162.0,Scotland,207,14,2,15,99,74,8,0,0.0,0.0,1.0,43.0,16,16,78.26086956521739,14.785714285714286,12.176470588235293,49.72375690607735,11.571428571428571,47.82608695652174,2021,2024,Aitken-Drummond,A Aitken-Drummond
1,Anneke Bosch,30,685.0,South Africa,641,27,10,77,260,239,36,2,0.0,4.0,5.0,67.0,30,30,106.86427457098284,23.74074074074074,7.367816091954023,59.0316573556797,25.37037037037037,40.5616224648986,2019/20,2024,Bosch,A Bosch
2,Alice Capsey,32,672.0,England,566,28,12,90,236,181,28,1,0.0,4.0,5.0,67.0,32,32,118.7279151943463,20.214285714285715,5.549019607843137,53.81165919282511,24.0,41.69611307420495,2022,2024,Capsey,A Capsey
3,Annerie Dercksen,9,46.0,South Africa,61,9,1,5,34,18,1,0,0.0,0.0,0.0,14.0,9,9,75.40983606557377,6.777777777777778,10.166666666666666,37.735849056603776,5.111111111111111,55.73770491803278,2022/23,2024,Dercksen,A Dercksen
4,Ash Gardner,69,1986.0,Australia,1585,86,67,221,635,515,91,1,2.0,11.0,13.0,186.0,69,69,125.29968454258676,18.430232558139537,5.503472222222222,56.36070853462157,23.093023255813954,40.063091482649845,2016/17,2023/24,Gardner,A Gardner
5,Ayabonga Khaka,13,56.0,South Africa,99,7,0,4,52,36,2,0,0.0,0.0,0.0,16.0,13,13,56.56565656565656,14.142857142857142,24.75,44.44444444444444,8.0,52.52525252525253,2017/18,2024,Khaka,A Khaka
6,Alana King,4,27.0,Australia,31,2,0,4,16,7,2,0,0.0,0.0,0.0,18.0,4,4,87.09677419354838,15.5,7.75,44.0,13.5,51.61290322580645,2022,2022/23,King,A King
7,Ailsa Lister,27,416.0,Scotland,324,23,8,51,116,95,30,3,0.0,3.0,1.0,68.0,27,27,128.39506172839506,14.08695652173913,5.491525423728813,67.21311475409836,18.08695652173913,35.80246913580247,2021,2024,Lister,A Lister
8,Ashmini Munisar,1,2.0,West Indies,2,0,0,0,0,0,1,0,0.0,0.0,0.0,2.0,1,1,100.0,2.0,2.0,200.0,2.0,0.0,2023,2023,Munisar,A Munisar
9,Arundhati Reddy,12,141.0,India,166,19,0,16,77,53,12,0,0.0,0.0,2.0,44.0,12,12,84.93975903614458,8.736842105263158,10.375,54.22535211267606,7.421052631578948,46.3855421686747,2018,2021,Reddy,A Reddy
