Player_name,batting_style,bowling_style,role,age
Alyssa Jean Healy,Right hand Bat,Wicketkeeper,Wicketkeeper Batter,34y 186d
Phoebe Litchfield,Left hand Bat,Legbreak,Batter,21y 161d
Bethany Louise Mooney,Left hand Bat,Wicketkeeper,Wicketkeeper Batter,30y 256d
Ashleigh Katherine Gardner,Right hand Bat,Right arm Offbreak,Allrounder,27y 164d
Kimberley Jennifer Garth,Right hand Bat,Right arm Medium fast,Allrounder,28y 154d
Grace Margaret Harris,Right hand Bat,Right arm Offbreak,Allrounder,31y 8d
Alana Maria King,Right hand Bat,Legbreak,Allrounder,28y 309d
Tahlia May McGrath,Right hand Bat,Right arm Medium,Allrounder,28y 321d
Ellyse Alexandra Perry,Right hand Bat,Right arm Fast medium,Allrounder,33y 328d
Annabel Sutherland,Right hand Bat,Right arm Medium fast,Allrounder,22y 350d
Darcie R Brown,Right hand Bat,Right arm Fast,Bowler,21y 203d
Sophie Molineux,Left hand Bat,Slow Left arm Orthodox,Bowler,26y 253d
Megan Schutt,Right hand Bat,Right arm Fast medium,Bowler,31y 255d
Tayla Jade Vlaeminck,Right hand Bat,Right arm Fast,Bowler,25y 335d
Georgia Wareham,Right hand Bat,Legbreak,Bowler,25y 123d
Nigar Sultana Joty,Joty,Right hand Bat,Wicketkeeper,27y 56d
Dilara Akter Dola,Right hand Bat,Wicketkeeper,Wicketkeeper Batter,20y 173d
Sobhana Mostary,Right hand Bat,Right arm Medium,Middle order Batter,22y 226d
Murshida Khatun,Left hand Bat,Opening Batter,Batting & Fielding,25y 81d
Shathi Rani,Right hand Bat,Opening Batter,Batting & Fielding,26y 99d
Taj Nehar,Right hand Bat,Right arm Offbreak,Top order Batter,26y 359d
Disha Biswas,Right hand Bat,Right arm Fast medium,Allrounder,20y 176d
Rabeya Khan,Right hand Bat,Legbreak,Allrounder,19y 199d
MST. Ritu Moni,Right hand Bat,Right arm Medium,Allrounder,31y 234d
Shorna Akter,Right hand Bat,Legbreak,Allrounder,17y 269d
Fahima Khatun,Right hand Bat,Legbreak,Bowler,31y 329d
Jahanara Alam,Right hand Bat,Right arm Medium,Bowler,31y 178d
Marufa Akter,Right hand Bat,Right arm Medium fast,Bowler,19y 269d
Nahida Akter,Right hand Bat,Slow Left arm Orthodox,Bowler,24y 208d
Sultana Khatun,Right hand Bat,Right arm Offbreak,Bowler,28y 234d
Heather Clare Knight,Right hand Bat,Right arm Offbreak,Middle order Batter,33y 275d
Maia Emily Bouchier,Right hand Bat,Right arm Medium,Middle order Batter,25y 296d
Sophia Ivy Rose Dunkley,Right hand Bat,Legbreak,Top order Batter,26y 72d
